source_path,relative_path,source_chars,extracted_chars,canonical_chars,removed_chars,replacement_count,html_removed_chars,normalization_char_delta,decode_replacement_count,unknown_character_count
data/raw/gretil/3_purana/sivap1_u.htm,3_purana/sivap1_u.htm,222021,204149,152344,69677,19266,17872,51805,0,0
data/raw/gretil/3_purana/sivap7_u.htm,3_purana/sivap7_u.htm,615698,573856,416161,199537,60942,41842,157695,0,0
data/raw/gretil/3_purana/skp031pu.htm,3_purana/skp031pu.htm,225078,203551,175873,49205,23959,21527,27678,0,0
data/raw/gretil/3_purana/skprevku.htm,3_purana/skprevku.htm,841737,775467,672811,168926,99912,66270,102656,0,0
data/raw/gretil/3_purana/vamp__u.htm,3_purana/vamp__u.htm,605141,560283,482333,122808,66205,44858,77950,0,0
data/raw/gretil/3_purana/vd2127_u.htm,3_purana/vd2127_u.htm,11952,6706,5677,6275,879,5246,1029,0,0
data/raw/gretil/3_purana/vd3343pu.htm,3_purana/vd3343pu.htm,60034,50711,38879,21155,6038,9323,11832,0,0
data/raw/gretil/3_purana/vipce_pu.htm,3_purana/vipce_pu.htm,871537,779574,658412,213125,101908,91963,121162,0,0
data/raw/gretil/4_rellit/buddh/avsata_u.htm,4_rellit/buddh/avsata_u.htm,791898,722992,687178,104720,87929,68906,35814,0,2
data/raw/gretil/4_rellit/buddh/divyav_u.htm,4_rellit/buddh/divyav_u.htm,1428529,1355128,1195350,233179,130214,73401,159778,0,0
